Nautico-PE 	 2 x 1 	 Goias-GO
SaoPaulo-SP 	 0 x 1 	 Gremio-RS
Vitoria-BA 	 0 x 2 	 Cruzeiro-MG
Botafogo-RJ 	 2 x 0 	 Sport-PE
Internacional-RS 1 x 0 	 Vasco-RJ
Coritiba-PR 	 2 x 0 	 Palmeiras-SP
Ipatinga-MG 	 0 x 1 	 Atletico-PR
Atletico-MG 	 0 x 0 	 Fluminense-RJ
Flamengo-RJ 	 3 x 1 	 Santos-SP
Portuguesa-SP 	 5 x 5 	 Figueirense-SC
Cruzeiro-MG 	 1 x 0 	 Botafogo-RJ
Sport-PE 	 0 x 0 	 Vitoria-BA
Vasco-RJ 	 3 x 1 	 Portuguesa-SP
Gremio-RS 	 0 x 0 	 Flamengo-RJ
Atletico-PR 	 1 x 1 	 SaoPaulo-SP
Fluminense-RJ 	 0 x 2 	 Nautico-PE
Goias-GO 	 1 x 1 	 Atletico-MG
Santos-SP 	 4 x 0 	 Ipatinga-MG
Palmeiras-SP 	 2 x 1 	 Internacional-RS
Figueirense-SC 	 2 x 1 	 Coritiba-PR
Gremio-RS 	 2 x 0 	 Nautico-PE
Flamengo-RJ 	 2 x 1 	 Internacional-RS
Vitoria-BA 	 4 x 0 	 Figueirense-SC
Cruzeiro-MG 	 4 x 0 	 Santos-SP
SaoPaulo-SP 	 1 x 1 	 Coritiba-PR
Sport-PE 	 2 x 1 	 Fluminense-RJ
Goias-GO 	 1 x 1 	 Ipatinga-MG
Portuguesa-SP 	 1 x 1 	 Palmeiras-SP
Atletico-PR 	 1 x 1 	 Atletico-MG
Botafogo-RJ 	 1 x 1 	 Vasco-RJ
Vasco-RJ 	 2 x 1 	 Gremio-RS
Internacional-RS 1 x 1 	 Sport-PE
Figueirense-SC 	 0 x 0 	 Goias-GO
Nautico-PE 	 3 x 0 	 Botafogo-RJ
Santos-SP 	 0 x 0 	 SaoPaulo-SP
Coritiba-PR 	 1 x 1 	 Cruzeiro-MG
Ipatinga-MG 	 2 x 0 	 Vitoria-BA
Palmeiras-SP 	 1 x 0 	 Atletico-PR
Atletico-MG 	 2 x 0 	 Portuguesa-SP
Fluminense-RJ 	 0 x 1 	 Flamengo-RJ
SaoPaulo-SP 	 5 x 1 	 Atletico-MG
Flamengo-RJ 	 5 x 0 	 Figueirense-SC
Ipatinga-MG 	 0 x 0 	 Nautico-PE
Atletico-PR 	 5 x 0 	 Goias-GO
Gremio-RS 	 2 x 1 	 Fluminense-RJ
Sport-PE 	 2 x 0 	 Palmeiras-SP
Portuguesa-SP 	 3 x 1 	 Internacional-RS
Vitoria-BA 	 1 x 0 	 Santos-SP
Cruzeiro-MG 	 1 x 0 	 Vasco-RJ
Botafogo-RJ 	 2 x 1 	 Coritiba-PR
Fluminense-RJ 	 1 x 1 	 Santos-SP
Palmeiras-SP 	 5 x 2 	 Cruzeiro-MG
Atletico-MG 	 4 x 2 	 Ipatinga-MG
Flamengo-RJ 	 2 x 4 	 SaoPaulo-SP
Internacional-RS 2 x 1 	 Botafogo-RJ
Figueirense-SC 	 3 x 1 	 Sport-PE
Portuguesa-SP 	 1 x 0 	 Atletico-PR
Nautico-PE 	 1 x 1 	 Vasco-RJ
Goias-GO 	 0 x 3 	 Gremio-RS
Coritiba-PR 	 0 x 0 	 Vitoria-BA
Botafogo-RJ 	 0 x 1 	 Portuguesa-SP
SaoPaulo-SP 	 1 x 0 	 Sport-PE
Cruzeiro-MG 	 3 x 0 	 Figueirense-SC
Coritiba-PR 	 2 x 1 	 Fluminense-RJ
Ipatinga-MG 	 1 x 3 	 Flamengo-RJ
Vitoria-BA 	 2 x 1 	 Internacional-RS
Vasco-RJ 	 0 x 2 	 Palmeiras-SP
Gremio-RS 	 3 x 0 	 Atletico-PR
Santos-SP 	 0 x 4 	 Goias-GO
Nautico-PE 	 2 x 1 	 Atletico-MG
Vasco-RJ 	 4 x 2 	 Ipatinga-MG
Portuguesa-SP 	 0 x 0 	 Santos-SP
Vitoria-BA 	 3 x 0 	 Goias-GO
Figueirense-SC 	 1 x 1 	 Atletico-MG
Sport-PE 	 1 x 2 	 Flamengo-RJ
Cruzeiro-MG 	 1 x 1 	 SaoPaulo-SP
Atletico-PR 	 1 x 1 	 Coritiba-PR
Palmeiras-SP 	 2 x 0 	 Nautico-PE
Fluminense-RJ 	 0 x 0 	 Botafogo-RJ
Gremio-RS 	 1 x 1 	 Internacional-RS
Atletico-PR 	 1 x 0 	 Santos-SP
Flamengo-RJ 	 3 x 0 	 Nautico-PE
Sport-PE 	 1 x 0 	 Cruzeiro-MG
Figueirense-SC 	 2 x 1 	 Vasco-RJ
Atletico-MG 	 1 x 1 	 Palmeiras-SP
Portuguesa-SP 	 1 x 2 	 Vitoria-BA
Internacional-RS 3 x 0 	 Coritiba-PR
SaoPaulo-SP 	 1 x 1 	 Ipatinga-MG
Goias-GO 	 1 x 0 	 Fluminense-RJ
Botafogo-RJ 	 2 x 0 	 Gremio-RS
Internacional-RS 1 x 0 	 Goias-GO
Coritiba-PR 	 4 x 0 	 Portuguesa-SP
Fluminense-RJ 	 3 x 0 	 Atletico-PR
Vitoria-BA 	 5 x 2 	 Botafogo-RJ
Santos-SP 	 1 x 1 	 Gremio-RS
Nautico-PE 	 2 x 1 	 SaoPaulo-SP
Atletico-MG 	 1 x 1 	 Flamengo-RJ
Vasco-RJ 	 4 x 0 	 Sport-PE
Palmeiras-SP 	 1 x 1 	 Figueirense-SC
Ipatinga-MG 	 2 x 2 	 Cruzeiro-MG
Fluminense-RJ 	 2 x 1 	 Vitoria-BA
Goias-GO 	 2 x 2 	 Coritiba-PR
SaoPaulo-SP 	 2 x 1 	 Palmeiras-SP
Atletico-PR 	 1 x 1 	 Internacional-RS
Santos-SP 	 2 x 2 	 Botafogo-RJ
Cruzeiro-MG 	 2 x 1 	 Atletico-MG
Ipatinga-MG 	 0 x 1 	 Figueirense-SC
Gremio-RS 	 2 x 1 	 Portuguesa-SP
Flamengo-RJ 	 3 x 1 	 Vasco-RJ
Nautico-PE 	 0 x 2 	 Sport-PE
Sport-PE 	 2 x 2 	 Gremio-RS
Botafogo-RJ 	 4 x 0 	 Ipatinga-MG
Portuguesa-SP 	 3 x 2 	 Nautico-PE
Figueirense-SC 	 3 x 0 	 Santos-SP
Cruzeiro-MG 	 1 x 0 	 Atletico-PR
Palmeiras-SP 	 3 x 1 	 Fluminense-RJ
Vitoria-BA 	 1 x 3 	 SaoPaulo-SP
Internacional-RS 1 x 0 	 Atletico-MG
Coritiba-PR 	 1 x 0 	 Flamengo-RJ
Vasco-RJ 	 1 x 1 	 Goias-GO
Ipatinga-MG 	 4 x 1 	 Portuguesa-SP
Fluminense-RJ 	 1 x 0 	 Figueirense-SC
Gremio-RS 	 1 x 0 	 Cruzeiro-MG
Goias-GO 	 3 x 2 	 Palmeiras-SP
Santos-SP 	 1 x 0 	 Sport-PE
Atletico-PR 	 3 x 1 	 Vasco-RJ
Nautico-PE 	 1 x 1 	 Internacional-RS
SaoPaulo-SP 	 2 x 1 	 Botafogo-RJ
Flamengo-RJ 	 0 x 1 	 Vitoria-BA
Atletico-MG 	 3 x 2 	 Coritiba-PR
Coritiba-PR 	 1 x 0 	 Ipatinga-MG
Cruzeiro-MG 	 0 x 1 	 Goias-GO
Vitoria-BA 	 2 x 0 	 Nautico-PE
Internacional-RS 2 x 0 	 SaoPaulo-SP
Botafogo-RJ 	 4 x 0 	 Atletico-MG
Portuguesa-SP 	 2 x 2 	 Flamengo-RJ
Vasco-RJ 	 3 x 3 	 Fluminense-RJ
Palmeiras-SP 	 4 x 2 	 Santos-SP
Figueirense-SC 	 1 x 7 	 Gremio-RS
Sport-PE 	 1 x 0 	 Atletico-PR
Fluminense-RJ 	 1 x 3 	 Cruzeiro-MG
Ipatinga-MG 	 1 x 0 	 Internacional-RS
Nautico-PE 	 1 x 2 	 Coritiba-PR
Gremio-RS 	 1 x 1 	 Palmeiras-SP
Santos-SP 	 5 x 2 	 Vasco-RJ
Goias-GO 	 1 x 2 	 Sport-PE
Atletico-PR 	 0 x 0 	 Figueirense-SC
SaoPaulo-SP 	 3 x 1 	 Portuguesa-SP
Atletico-MG 	 2 x 1 	 Vitoria-BA
Flamengo-RJ 	 0 x 0 	 Botafogo-RJ
Vitoria-BA 	 2 x 1 	 Atletico-PR
Cruzeiro-MG 	 4 x 2 	 Nautico-PE
Portuguesa-SP 	 3 x 1 	 Fluminense-RJ
Botafogo-RJ 	 2 x 0 	 Goias-GO
Internacional-RS 0 x 1 	 Santos-SP
Figueirense-SC 	 1 x 1 	 SaoPaulo-SP
Palmeiras-SP 	 1 x 0 	 Flamengo-RJ
Coritiba-PR 	 0 x 1 	 Gremio-RS
Vasco-RJ 	 6 x 1 	 Atletico-MG
Sport-PE 	 3 x 1 	 Ipatinga-MG
Fluminense-RJ 	 1 x 2 	 Internacional-RS
Goias-GO 	 4 x 0 	 Portuguesa-SP
Nautico-PE 	 1 x 2 	 Figueirense-SC
Flamengo-RJ 	 1 x 2 	 Cruzeiro-MG
Ipatinga-MG 	 1 x 2 	 Palmeiras-SP
SaoPaulo-SP 	 4 x 0 	 Vasco-RJ
Gremio-RS 	 2 x 0 	 Vitoria-BA
Atletico-PR 	 0 x 3 	 Botafogo-RJ
Santos-SP 	 1 x 3 	 Coritiba-PR
Atletico-MG 	 2 x 1 	 Sport-PE
Gremio-RS 	 1 x 0 	 Ipatinga-MG
Vasco-RJ 	 0 x 2 	 Coritiba-PR
Atletico-PR 	 2 x 0 	 Nautico-PE
Sport-PE 	 2 x 0 	 Portuguesa-SP
Santos-SP 	 2 x 3 	 Atletico-MG
Goias-GO 	 2 x 1 	 Flamengo-RJ
Fluminense-RJ 	 3 x 1 	 SaoPaulo-SP
Figueirense-SC 	 1 x 2 	 Botafogo-RJ
Palmeiras-SP 	 3 x 0 	 Vitoria-BA
Cruzeiro-MG 	 2 x 0 	 Internacional-RS
Flamengo-RJ 	 1 x 0 	 Atletico-PR
Atletico-MG 	 0 x 4 	 Gremio-RS
SaoPaulo-SP 	 2 x 1 	 Goias-GO
Coritiba-PR 	 3 x 0 	 Sport-PE
Botafogo-RJ 	 1 x 0 	 Palmeiras-SP
Vitoria-BA 	 5 x 0 	 Vasco-RJ
Portuguesa-SP 	 2 x 1 	 Cruzeiro-MG
Ipatinga-MG 	 2 x 1 	 Fluminense-RJ
Nautico-PE 	 1 x 0 	 Santos-SP
Internacional-RS 1 x 1 	 Figueirense-SC
Atletico-PR 	 5 x 0 	 Ipatinga-MG
Figueirense-SC 	 2 x 1 	 Portuguesa-SP
Cruzeiro-MG 	 2 x 1 	 Vitoria-BA
Gremio-RS 	 1 x 0 	 SaoPaulo-SP
Goias-GO 	 3 x 0 	 Nautico-PE
Santos-SP 	 2 x 2 	 Flamengo-RJ
Vasco-RJ 	 4 x 0 	 Internacional-RS
Fluminense-RJ 	 1 x 0 	 Atletico-MG
Sport-PE 	 0 x 1 	 Botafogo-RJ
Palmeiras-SP 	 1 x 0 	 Coritiba-PR
Vitoria-BA 	 0 x 0 	 Sport-PE
Coritiba-PR 	 3 x 0 	 Figueirense-SC
Botafogo-RJ 	 1 x 0 	 Cruzeiro-MG
SaoPaulo-SP 	 3 x 1 	 Atletico-PR
Internacional-RS 4 x 1 	 Palmeiras-SP
Nautico-PE 	 1 x 3 	 Fluminense-RJ
Ipatinga-MG 	 1 x 1 	 Santos-SP
Portuguesa-SP 	 0 x 1 	 Vasco-RJ
Flamengo-RJ 	 2 x 1 	 Gremio-RS
Atletico-MG 	 1 x 1 	 Goias-GO
Fluminense-RJ 	 1 x 1 	 Sport-PE
Figueirense-SC 	 1 x 2 	 Vitoria-BA
Internacional-RS 1 x 1 	 Flamengo-RJ
Santos-SP 	 2 x 0 	 Cruzeiro-MG
Coritiba-PR 	 2 x 2 	 SaoPaulo-SP
Ipatinga-MG 	 1 x 0 	 Goias-GO
Palmeiras-SP 	 4 x 2 	 Portuguesa-SP
Nautico-PE 	 1 x 1 	 Gremio-RS
Vasco-RJ 	 1 x 1 	 Botafogo-RJ
Atletico-MG 	 4 x 0 	 Atletico-PR
Botafogo-RJ 	 1 x 1 	 Nautico-PE
Vitoria-BA 	 0 x 0 	 Ipatinga-MG
Goias-GO 	 2 x 0 	 Figueirense-SC
Gremio-RS 	 2 x 1 	 Vasco-RJ
Atletico-PR 	 1 x 2 	 Palmeiras-SP
Sport-PE 	 1 x 0 	 Internacional-RS
SaoPaulo-SP 	 0 x 0 	 Santos-SP
Portuguesa-SP 	 1 x 1 	 Atletico-MG
Flamengo-RJ 	 2 x 2 	 Fluminense-RJ
Cruzeiro-MG 	 1 x 1 	 Coritiba-PR
Santos-SP 	 2 x 0 	 Vitoria-BA
Figueirense-SC 	 2 x 3 	 Flamengo-RJ
Atletico-MG 	 1 x 1 	 SaoPaulo-SP
Goias-GO 	 4 x 0 	 Atletico-PR
Vasco-RJ 	 1 x 3 	 Cruzeiro-MG
Palmeiras-SP 	 0 x 3 	 Sport-PE
Fluminense-RJ 	 0 x 0 	 Gremio-RS
Internacional-RS 1 x 0 	 Portuguesa-SP
Coritiba-PR 	 0 x 1 	 Botafogo-RJ
Nautico-PE 	 2 x 0 	 Ipatinga-MG
Gremio-RS 	 1 x 2 	 Goias-GO
Atletico-PR 	 2 x 0 	 Portuguesa-SP
Ipatinga-MG 	 3 x 2 	 Atletico-MG
Sport-PE 	 5 x 0 	 Figueirense-SC
Vasco-RJ 	 1 x 3 	 Nautico-PE
Cruzeiro-MG 	 0 x 1 	 Palmeiras-SP
SaoPaulo-SP 	 2 x 0 	 Flamengo-RJ
Botafogo-RJ 	 1 x 2 	 Internacional-RS
Vitoria-BA 	 1 x 0 	 Coritiba-PR
Santos-SP 	 2 x 1 	 Fluminense-RJ
Fluminense-RJ 	 2 x 3 	 Coritiba-PR
Goias-GO 	 4 x 1 	 Santos-SP
Atletico-MG 	 2 x 1 	 Nautico-PE
Portuguesa-SP 	 3 x 1 	 Botafogo-RJ
Atletico-PR 	 0 x 0 	 Gremio-RS
Sport-PE 	 0 x 0 	 SaoPaulo-SP
Figueirense-SC 	 3 x 4 	 Cruzeiro-MG
Internacional-RS 1 x 0 	 Vitoria-BA
Palmeiras-SP 	 2 x 0 	 Vasco-RJ
Flamengo-RJ 	 1 x 0 	 Ipatinga-MG
Goias-GO 	 3 x 0 	 Vitoria-BA
Flamengo-RJ 	 2 x 1 	 Sport-PE
Atletico-MG 	 0 x 0 	 Figueirense-SC
Coritiba-PR 	 1 x 1 	 Atletico-PR
Nautico-PE 	 0 x 0 	 Palmeiras-SP
Ipatinga-MG 	 3 x 1 	 Vasco-RJ
SaoPaulo-SP 	 2 x 0 	 Cruzeiro-MG
Botafogo-RJ 	 1 x 1 	 Fluminense-RJ
Internacional-RS 4 x 1 	 Gremio-RS
Santos-SP 	 1 x 1 	 Portuguesa-SP
Fluminense-RJ 	 1 x 1 	 Goias-GO
Vitoria-BA 	 3 x 1 	 Portuguesa-SP
